Movie name,Movie rate,Description,Creators,Trailer link,More Info
Ode to Joy,6.2,"Charlie suffers from a serious disease that causes acute narcolepsy whenever he is happy. Although he develops a variety of techniques to deny himself pleasure and deal with his sleep issues, they’re put to the test when he falls in love.",Jason Winer,https://www.youtube.com/watch?v=HIMO1IheTpA,https://www.themoviedb.org/movie/501989
Ritual,5.6,A father on vacation wakes up separated from his family and races through the woods to find them.,Joko Anwar,https://www.youtube.com/watch?v=tGXpbC-253E,https://www.themoviedb.org/movie/98368
The Nightmare Before Christmas,7.835,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",Henry Selick,https://www.youtube.com/watch?v=IoYahD_xNR0,https://www.themoviedb.org/movie/9479
Silent Night Deadly Night 4: Initiation,4.2,A reporter investigating the bizarre death of a woman who leaped from a building in flames finds herself mixed up in a cult of witches who are making her part of their sacrificial ceremony during the Christmas season.,Brian Yuzna,https://www.youtube.com/watch?v=B9yRIvfJjsg,https://www.themoviedb.org/movie/59762
Tangled,7.611,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.","Byron Howard, Nathan Greno",https://www.youtube.com/watch?v=gsYKF8ecC8g,https://www.themoviedb.org/movie/38757
Chikan Densha: OL Kando Kurabe,5.5,,Takaaki Hashiguchi,N/A,https://www.themoviedb.org/movie/800378
Troy,7.165,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.",Wolfgang Petersen,https://www.youtube.com/watch?v=6FG3BfPuwBA,https://www.themoviedb.org/movie/652
Dead Poets Society,8.301,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Peter Weir,https://www.youtube.com/watch?v=s_jsDreXFZU,https://www.themoviedb.org/movie/207
OLIVIA RODRIGO: driving home 2 u (a SOUR film),7.8,"Grammy® winner singer-songwriter Olivia Rodrigo takes a familiar road trip from Salt Lake City, where she began writing her debut album “SOUR,” to Los Angeles. Along the way, Rodrigo recounts the memories of writing and creating her record-breaking debut album and shares her feelings as a young woman navigating a specific time in her life. Through new live arrangements of her songs, intimate interviews and never-before-seen footage from the making of the album, audiences will follow Olivia along on a cinematic journey exploring the story of “SOUR.”",Stacey Lee,https://www.youtube.com/watch?v=o6MCkc6DUVw,https://www.themoviedb.org/movie/939790
Initial D: Third Stage,6.9,"With high school graduation right around the corner, Takumi Fujiwara has a lot on his mind and a lot to prepare for. Everything becomes even more complicated when Takumi is offered a spot on Ryosuke Takahashi's elite Kengai Racing Team, which seeks to assemble the greatest racers in the Gunma area for a tour of Japan's mountain passes. Before he can accept however, Takumi feels the need to settle the score with the Lancer Evo driving Emperor team, defend his downhill-racer crown against the son of his father's greatest rival, and finally settle things with his unfaithful girlfriend Natsuki.",Noboru Mitsusawa,N/A,https://www.themoviedb.org/movie/80741
"Signed, Sealed, Delivered: The Vows We Have Made",7.0,"As Shane and Oliver prepare to wed, the team helps an unwell boy reunite with a lost friend. A new employee may deliver the answer for Rita and Norman to start a family.",Linda-Lisa Hayter,N/A,https://www.themoviedb.org/movie/860271
Wicked: For Good,0.0,"Set in the Land of Oz, before and after Dorothy Gale’s arrival from Kansas, Elphaba and Glinda’s friendship is put to the test as they embrace their new respective identities as the Wicked Witch of the West and Glinda the Good Witch of the North, and how the consequences of their actions will change all of Oz forever.",Jon M. Chu,https://www.youtube.com/watch?v=R2Xubj7lazE,https://www.themoviedb.org/movie/967941
Already Dead,5.5,When Thomas Archer's happy and successful life is all but ruined following a horrific attack he is presented with a perfect opportunity to exact physical revenge upon the man who caused all his grief. However the immediate consequences of his actions and in-actions are much more complicated than he imagined.,Joe Otting,https://www.youtube.com/watch?v=9yK3kDA4o0A,https://www.themoviedb.org/movie/14105
Annabelle Comes Home,6.4,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",Gary Dauberman,https://www.youtube.com/watch?v=bCxm7cTpBAs,https://www.themoviedb.org/movie/521029
The Cut,6.531,"A retired boxer intends to return to the ring for one last shot at the title, but first he must make the weight. Holed up in a room in Las Vegas with an unscrupulous trainer, he embarks on an intensive and illegal weight-cutting program.",Sean Ellis,https://www.youtube.com/watch?v=pJjPBTC0ypU,https://www.themoviedb.org/movie/1215798
Rise of the Footsoldier 3: The Pat Tate Story,6.2,"Notorious gangster, Pat Tate, rises through the ranks of Essex's criminal underworld. A prequel to the 'Rise of the Footsoldier' franchise.",Zackary Adler,https://www.youtube.com/watch?v=jzPsLEHImzk,https://www.themoviedb.org/movie/484889
Batman v Superman: Dawn of Justice,6.0,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Zack Snyder,https://www.youtube.com/watch?v=s9EkdAHqtvU,https://www.themoviedb.org/movie/209112
Brain on Fire,7.029,"Susannah Cahalan, an up-and-coming journalist at the New York Post becomes plagued by voices in her head and seizures, causing a rapid descent into insanity.",Gerard Barrett,https://www.youtube.com/watch?v=VZn6G0M9wNs,https://www.themoviedb.org/movie/340027
Framed for Murder: A Fixer Upper Mystery,6.6,"In the small resort town of Lighthouse Cove, everyone knows that the best man for the job is a woman. And that woman is Shannon Hughes, owner of a construction company and an expert in Victorian home restoration and renovation. Through her renovations she will find clues to uncover the house’s secret past and in turn become an unlikely sleuth to help crack these unsolved mysteries",Mark Jean,https://www.youtube.com/watch?v=Ld4cq4eoJOI,https://www.themoviedb.org/movie/435720
Once Upon a Time... in Hollywood,7.426,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",Quentin Tarantino,https://www.youtube.com/watch?v=vKgITiP1UMg,https://www.themoviedb.org/movie/466272
Ice Age: Dawn of the Dinosaurs,6.8,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",Carlos Saldanha,https://www.youtube.com/watch?v=byUCa2vjDik,https://www.themoviedb.org/movie/8355
Batman Begins,7.717,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",Christopher Nolan,https://www.youtube.com/watch?v=lirBhHXvDSg,https://www.themoviedb.org/movie/272
Ice Age,7.4,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",Chris Wedge,N/A,https://www.themoviedb.org/movie/425
Finding Nemo,7.817,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Andrew Stanton,https://www.youtube.com/watch?v=ZS_8btMjx2U,https://www.themoviedb.org/movie/12
The Garfield Movie,7.038,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",Mark Dindal,https://www.youtube.com/watch?v=yk2Ej59DnrE,https://www.themoviedb.org/movie/748783
Ted 2,6.316,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Seth MacFarlane,https://www.youtube.com/watch?v=mSG3R_2Uisw,https://www.themoviedb.org/movie/214756
The Next 365 Days,6.388,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,"Tomasz Mandes, Barbara Białowąs",https://www.youtube.com/watch?v=iXdw5wYI4cY,https://www.themoviedb.org/movie/829560
Of Love and Shadows,5.3,"Irene is a magazine editor living under the shadow of the Pinochet dictatorship in Chile. Francisco is a handsome photographer and he comes to Irene for a job. As a sympathizer with the underground resistance movement, Francisco opens her eyes and her heart to the atrocities being committed by the state.",Betty Kaplan,https://www.youtube.com/watch?v=0uijz9WWE3Q,https://www.themoviedb.org/movie/90148
Elemental,7.6,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",Peter Sohn,https://www.youtube.com/watch?v=hXzcyx9V0xw,https://www.themoviedb.org/movie/976573
Doctor Strange in the Multiverse of Madness,7.245,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",Sam Raimi,https://www.youtube.com/watch?v=Rf8LAYJSOL8,https://www.themoviedb.org/movie/453395
Whiplash,8.376,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Damien Chazelle,https://www.youtube.com/watch?v=Q7kZy3T6vRM,https://www.themoviedb.org/movie/244786
GoodFellas,8.455,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",Martin Scorsese,https://www.youtube.com/watch?v=PTBRNXGQR9Q,https://www.themoviedb.org/movie/769
Black Phone 2,0.0,"Four years after escaping The Grabber, Finney Blake, now 17, is struggling with his life after captivity. His sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp. The siblings are determined to solve the mystery and confront a killer who has grown more powerful in death and far more significant to them than either can imagine.",Scott Derrickson,https://www.youtube.com/watch?v=ZlkGbu2IY1w,https://www.themoviedb.org/movie/1197137
A Cloud in the Teeth,5.4,"Malisard is a reporter at ""Soir de Paris"", his colleague Prévot is a photographer. Together, they roam the streets of Paris.",Marco Pico,N/A,https://www.themoviedb.org/movie/155497
WALL·E,8.102,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",Andrew Stanton,https://www.youtube.com/watch?v=Tbr_L9Gap_M,https://www.themoviedb.org/movie/10681
The Chess Game,4.7,"In 19th century, a disillusioned priest helps a young boy drifter who's a chess wunderkind to move on up in life and social structures using his talent. Years later, he's a success, but game of life and love has higher stakes than chess.",Yves Hanchar,N/A,https://www.themoviedb.org/movie/333237
Hovering Over the Water,7.5,"Laura Rossellini, a widow from Rome, vacations on the Algarve coast one hot summer. One day while sunbathing, she finds a wounded man named Robert drifting in the surf on a rubber raft. She takes him home, and, after he is revived, learns his story. As they talk, their mutual attraction grows, until a group of armed men suddenly arrive looking for Robert.",João César Monteiro,N/A,https://www.themoviedb.org/movie/83229
Howl's Moving Castle,8.396,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",Hayao Miyazaki,https://www.youtube.com/watch?v=ARCQf2CEr8k,https://www.themoviedb.org/movie/4935
Ratatouille,7.8,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",Brad Bird,https://www.youtube.com/watch?v=NgsQ8mVkN8w,https://www.themoviedb.org/movie/2062
Showdown at the Grand,5.3,A proud movie theater owner must defend his family business from corporate developers alongside a legendary action star as art imitates life in a showdown for the ages.,Orson Oblowitz,https://www.youtube.com/watch?v=dLSr-ir9vlc,https://www.themoviedb.org/movie/1117269
The Blind Side,7.674,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,https://www.youtube.com/watch?v=KA56LqFszYI,https://www.themoviedb.org/movie/22881
Jolly LLB 3,8.333,"The third part of the Jolly LLB trilogy brings back Jagdish Tyagi and Jagdishwar Mishra for the biggest face-off as penurious widow Janki Devi Solanki awaits justice against business tycoon Haribhai Khaitan in a satire on the judiciary, justice and the gulf between the privileged and the people on the other side of the spectrum.",Subhash Kapoor,https://www.youtube.com/watch?v=eSgJ8PfSUSk,https://www.themoviedb.org/movie/1015981
Marlee Matlin: Not Alone Anymore,8.0,"In 1987, Marlee Matlin became the first Deaf actor to win an Academy Award and was thrust into the spotlight at 21 years old. Reflecting on her life in her primary language of American Sign Language, Marlee explores the complexities of what it means to be a trailblazer.",Shoshannah Stern,https://www.youtube.com/watch?v=yh7weSZkUU8,https://www.themoviedb.org/movie/1340117
Code Name: Wolverine,6.5,"Harry Gordini is on his way to Italy for a holiday with his family. On his way he accidentally picks up the wrong suitcase which holds in it hundreds of millions worth of new superdrug. Now the drugdealers want the drugs back and kidnap Harry's wife and son. But unfortunately Harry isn't just anyone, he's an ex-Navy SEAL and veteran of the Gulf war, code named ""Wolverine"". He successfully rescues his wife and kid from the drugdealers, but unfortunately their problems aren't yet over. Adolfo Jones, the head of the crime organisation, is still at large, and he's being helped by couple of dirty DEA-agents. Once again the drugdealer Jones is able to kidnap his son. So everything must come down to a final showdown between the ""Wolverine"" and Jones...",David Jackson,N/A,https://www.themoviedb.org/movie/267778
John Wick: Chapter 2,7.339,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",Chad Stahelski,https://www.youtube.com/watch?v=LZrX9mffH8Y,https://www.themoviedb.org/movie/324552
Screamboat,5.152,A late-night boat ride turns into a desperate fight for survival in New York City when a mischievous mouse becomes a monstrous reality.,Steven LaMorte,https://www.youtube.com/watch?v=TSm0EMHaUrw,https://www.themoviedb.org/movie/1225572
The Rise of the Krays,4.7,"Follows the early years of two unknown 18 year old amateur boxers who quickly fought their way to become the most feared and respected villains in London. Told through the eyes of a close friend that survived them, we see them rise to infamy through drugs, sex and murder.",Zackary Adler,https://www.youtube.com/watch?v=7ChEerbVbcE,https://www.themoviedb.org/movie/356216
The Equalizer,7.281,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",Antoine Fuqua,https://www.youtube.com/watch?v=BP_FwE0Z7no,https://www.themoviedb.org/movie/156022
The Godfather Part II,8.571,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",Francis Ford Coppola,https://www.youtube.com/watch?v=7pfqivkYUlE,https://www.themoviedb.org/movie/240
Chasing the Dragon,6.912,"An illegal immigrant from Mainland China sneaks into the corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless drug lord.","Wong Jing, Jason Kwan",https://www.youtube.com/watch?v=FYu-yhnRzyE,https://www.themoviedb.org/movie/449927
Toy Story 3,7.802,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",Lee Unkrich,https://www.youtube.com/watch?v=2BlMNH1QTeE,https://www.themoviedb.org/movie/10193
Furiosa: A Mad Max Saga,7.465,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",George Miller,https://www.youtube.com/watch?v=LYV3001u574,https://www.themoviedb.org/movie/786892
Until Dawn,6.502,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",David F. Sandberg,https://www.youtube.com/watch?v=xR3lVHnh0Gg,https://www.themoviedb.org/movie/1232546
Boston Strangler The Untold Story,3.7,"Boston Strangler: The Untold Story is an intense true-crime thriller about Albert De Salvo, a wise cracking, small time criminal with an unrelenting sex drive, who ultimately falsely confesses to being the strangler that wreaked havoc in Boston during the early sixties. Guided by his manipulative cell mate, who knows more about the murders than he reveals, they devise a plan to gain all of the notoriety from the killings and the money from the reward. Meanwhile, Detective John Marsden, searches out the truth certain that they were not committed by one man. Fighting the bureaucracy of the day, Marsden lets his emotions get the best of him as he follows the trail of the murders.",Michael Feifer,N/A,https://www.themoviedb.org/movie/28937
Flight Risk,5.999,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",Mel Gibson,https://www.youtube.com/watch?v=uaodj8Myt3A,https://www.themoviedb.org/movie/1126166
Bicentennial Man,7.27,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",Chris Columbus,https://www.youtube.com/watch?v=NRFxf-2J1GM,https://www.themoviedb.org/movie/2277
The Rats Are Coming! The Werewolves Are Here!,3.5,The daughter in a family of werewolves decides to put an end to the family curse.,Andy Milligan,https://www.youtube.com/watch?v=-HQR5-ACk8Q,https://www.themoviedb.org/movie/74826
Dark Shadows,6.096,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,Tim Burton,https://www.youtube.com/watch?v=4cVcpz8H3Pk,https://www.themoviedb.org/movie/62213
Gone Girl,7.89,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,https://www.youtube.com/watch?v=2-_-1nJf8Vg,https://www.themoviedb.org/movie/210577
The Killer's Game,6.401,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",J.J. Perry,https://www.youtube.com/watch?v=reQVL41DRmM,https://www.themoviedb.org/movie/507241
Already Tomorrow in Hong Kong,5.959,"Ruby, a Chinese American toy designer from LA, visits Hong Kong for the first time on business. Finding herself stranded, she meets Josh, an American expat who shows her the city.",Emily Ting,https://www.youtube.com/watch?v=yQ3OSU5u-KQ,https://www.themoviedb.org/movie/339148
Catch Me If You Can,7.979,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",Steven Spielberg,https://www.youtube.com/watch?v=71rDQ7z4eFg,https://www.themoviedb.org/movie/640
Iron Man 3,6.929,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,https://www.youtube.com/watch?v=VcZdrfDeJTo,https://www.themoviedb.org/movie/68721
Iron Man,7.654,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,https://www.youtube.com/watch?v=KAE5ymVLmZg,https://www.themoviedb.org/movie/1726
Asylum: Twisted Horror and Fantasy Tales,5.932,"Brandon prepares to give his last stand-up comedy show. As his stories and jokes pass, the public begins to cheer up. But at that precise moment Brandon will realize that these stories have a strong relationship with his past. More than he imagines.","Vincent Paronnaud, Kheireddine El-Helou, Damien LeVeck, Carlos Goitia, Alejandro Damiani, Caye Casas, Henryk Witscherkowsky, Andrew Desmond, Adam O'Brien, Mat Johns, Denis Walgenwitz, Albert Pintó",https://www.youtube.com/watch?v=WU6xeVTnQvI,https://www.themoviedb.org/movie/704630
Operation Fortune: Ruse de Guerre,6.479,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,https://www.youtube.com/watch?v=WdZ-BWWQcWQ,https://www.themoviedb.org/movie/739405
The Man in My Basement,6.8,"Down on his luck, Charles Blakey agrees to rent his basement to a mysterious stranger, unaware he may be letting in a force much darker than he imagined.",Nadia Latif,https://www.youtube.com/watch?v=TzTBiay8-zk,https://www.themoviedb.org/movie/957121
My Friend's Wife,6.8,"I want to spend all night with my friend's wife who is extremely sexy. Jeong-woo is a husband who can't get an erection while his marriage is going down the drain.  A friend and his wife from the States suggest a couples trip and Jeong-woo meets his friend's wife Hye-sook who is extremely sexy. His 'package' keeps getting stimlated every time he sees her. He tries to ignore it but every time he sees her, he gets sexual fantasies. Finally, he suggests to his friend, to 'switch' partners...",Tak Seung-oh,N/A,https://www.themoviedb.org/movie/372049
Edge of Tomorrow,7.632,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",Doug Liman,https://www.youtube.com/watch?v=eb8wTIcGLgQ,https://www.themoviedb.org/movie/137113
Schindler's List,8.566,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Steven Spielberg,https://www.youtube.com/watch?v=v0RB-3sWbBA,https://www.themoviedb.org/movie/424
Me Before You,7.928,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",Thea Sharrock,https://www.youtube.com/watch?v=T0MmkG_nG1U,https://www.themoviedb.org/movie/296096
The Desperate Trail,4.727,"Amiable con man Jack Cooper is on a westbound stagecoach, headed for the next batch of suckers who will mistake him for an easy mark. Fiery Sarah O'Rourke rides the same coach, handcuffed to lawman Bill Speakes and headed for the hangman. In a few hours, all should reach their destinations. But the trail they travel takes an unexpected turn: Cooper and O'Rourke are soon off the stage and running for their lives. The law ends and the chase begins in a very alive tale of wanted-dead-or-alive fugitives (Linda Fiorentino and Craig Sheffer) pursued by a marshal (Sam Elliott) who's a law unto himself.",P.J. Pesce,https://www.youtube.com/watch?v=qt59aiSTI98,https://www.themoviedb.org/movie/67051
Fantastic Four: Rise of the Silver Surfer,5.623,"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.",Tim Story,https://www.youtube.com/watch?v=Wiu5eZ_7vSY,https://www.themoviedb.org/movie/1979
Solo Leveling -ReAwakening-,7.0,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",Shunsuke Nakashige,https://www.youtube.com/watch?v=UdIXUDpeTXU,https://www.themoviedb.org/movie/1357633
Shutter Island,8.201,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Martin Scorsese,https://www.youtube.com/watch?v=qdPw9x9h5CY,https://www.themoviedb.org/movie/11324
Kayara,7.6,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",Cesar Zelada,https://www.youtube.com/watch?v=i_wI-56g7aI,https://www.themoviedb.org/movie/666154
Iron Man,7.654,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,https://www.youtube.com/watch?v=KAE5ymVLmZg,https://www.themoviedb.org/movie/1726
The Mummy,7.0,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,Stephen Sommers,https://www.youtube.com/watch?v=OGOBz4t7OXs,https://www.themoviedb.org/movie/564
The Twilight Saga: New Moon,5.994,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",Chris Weitz,https://www.youtube.com/watch?v=q58iQSHhZGg,https://www.themoviedb.org/movie/18239
Good Will Hunting,8.157,"Headstrong yet aimless, Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he secretly solves highly difficult graduate-level math problems, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he gets court-ordered therapy. Eventually, therapist Dr. Sean Maguire helps Will confront the demons that are holding him back.",Gus Van Sant,https://www.youtube.com/watch?v=_X0XUBOcsxI,https://www.themoviedb.org/movie/489
Until Dawn,6.5,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",David F. Sandberg,https://www.youtube.com/watch?v=xR3lVHnh0Gg,https://www.themoviedb.org/movie/1232546
Obsessed,6.8,"A secret, passionate affair happens in the summer of 1969 between Colonel Jin Pyeong, trapped in a loveless marriage with Soo Jin, and Jong Ga Heun, the Chinese-Korean wife of Captain Kyung Woo Jin.",Kim Dae-woo,https://www.youtube.com/watch?v=40NSEn733iU,https://www.themoviedb.org/movie/269955
Guy Ritchie's The Covenant,7.735,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",Guy Ritchie,https://www.youtube.com/watch?v=02PPMPArNEQ,https://www.themoviedb.org/movie/882569
