Tên xe,Giá,Nam s?n xu?t,Ki?u dáng,Tình tr?ng,Xu?t x?,S? km dã di,T?nh thành,H?p s?,Nhiên li?u
Kia Morning S 1.25 AT 2017,275000000,Nam SX 2017,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Phú Th?",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Sedan 1.2 MT 2019,220000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 230.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Ford Ranger XLS 2.0L 4x2 AT 2022,668000000,Nam SX 2022,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Ð?ng Nai",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
VinFast LUX A2.0 Cao c?p 2019,550000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 70.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.2L 4x2 MT 2017,430000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 110.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mercedes-Benz C300 AMG 2021,1468000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 9.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Peugeot 3008 Allure 2018,555000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 98.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Navara EL 2020,485000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 6 2.0 AT 2018,505000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Phú Th?",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Santa Fe 2.2 D?u Ð?c bi?t 2022,1070000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
Phú Th?",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Ranger Wildtrak 2.0L 4x4 AT 2021,750000000,Nam SX 2021,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Volvo XC90 2022,3300000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 19.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Hybrid
Lexus ES 250 2021,1980000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 29.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Accent 1.4 MT Tiêu chu?n 2021,310000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 96.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Lexus GX 460 2016,2350000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.2 4x2 AT 2022,585000000,Nam SX 2022,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Lexus GX 460 2016,2350000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2.7V 2017,635000000,Nam SX 2017,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 01 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 4Matic 2022,1180000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 59.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX A2.0 Cao c?p 2020,580000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 76.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2015,295000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mini Cooper S 3 c?a 2022,1590000000,Nam SX 2022,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 9.500 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus GX 470 2007,650000000,Nam SX 2007,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 162.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato 1.6 AT Luxury 2018,399000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 91.289 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 3 1.5L Sedan 2019,455000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 65.689 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX A2.0 Cao c?p 2019,499000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 67.899 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 300 4Matic 2023,2298000000,Nam SX 2023,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Forte SX 1.6 AT 2009,235000000,Nam SX 2009,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 200.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.2L 4x2 MT 2019,485000000,Nam SX 2019,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 85.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Kia Carens SX 2.0 AT 2012,225000000,Nam SX 2012,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 130.000 km,"T?nh thành
Hung Yên",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Altis 2.0V  2014,370000000,Nam SX 2014,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Hung Yên",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Sedan 1.2 MT 2018,218000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Hung Yên",H?p s? S? sàn,Nhiên li?u Máy xang
Kia Rondo 1.7 DAT 2015,350000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 130.000 km,"T?nh thành
Hung Yên",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Toyota Vios 1.5E MT 2018,279000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Hung Yên",H?p s? S? sàn,Nhiên li?u Máy xang
Ford Ranger Wildtrak 2.0L 4x4 AT 2020,715000000,Nam SX 2020,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mercedes-Benz S450 4Matic Luxury 2019,2199000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 56.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Land Rover Range Rover Autobiography 3.0L P400 2020,6380000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 300 4Matic 2019,1088000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 83.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Carnival 2022,998000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 46.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mercedes-Benz GLC 200 4Matic 2022,1399000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 45.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C300 AMG 2019,1068000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 49.890 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C300 AMG 2016,630000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 789.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT Ð?c bi?t 2019,365000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz E200 Exclusive 2020,1059000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.2 4x2 AT 2015,398000000,Nam SX 2015,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 100 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Lexus RX 350 2024,3500000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Vitara 1.6 AT 2015,350000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 82.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Porter II 2016,360000000,Nam SX 2016,Ki?u dáng Xe t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
Volvo S60 Inscription 2021,1100000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 75.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Tucson 1.6 Turbo HTRAC 2023,888000000,Nam SX 2023,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Blind Van Suzuki Blind Van 2022,215000000,Nam SX 2022,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy xang
Volvo XC60 B6 AWD Inscription 2021,1599000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5G AT 2019,380000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit MID Tiêu chu?n 2016,375000000,Nam SX 2016,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
VinFast LUX A2.0 Nâng cao 2021,545000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 79.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i30 CW 1.6 AT 2009,220000000,Nam SX 2009,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia K165 2016,240000000,Nam SX 2016,Ki?u dáng Xe t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
Mercedes-Benz AMG G63 4.0 v8 2021,9650000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 19.999 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Super Carry Van Blind Van 2015,140000000,Nam SX 2015,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Mitsubishi Outlander 2.4 Premium 2017,575000000,Nam SX 2017,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 36.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sonet 1.5 Premium 2023,565000000,Nam SX 2023,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sonet 1.5 Deluxe 2023,495000000,Nam SX 2023,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 24.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz E200 E200 2019,1055000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 40.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Peugeot 408 Premium 2023,890000000,Nam SX 2023,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 19.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Cross 1.8 V  2021,685000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 61.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Ð?c bi?t 2019,470000000,Nam SX 2019,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 85.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF e34 Tiêu chu?n 2022,440000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Kia K3 2.0 Premium 2022,525000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C200 2.0 AT 2016,585000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 70.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 250 4Matic 2017,820000000,Nam SX 2017,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 94.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 4Matic 2018,880000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 86.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda City 1.5 L 2022,445000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 70.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Veloz 2025,609000000,Nam SX 2025,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 10.000 km,"T?nh thành
Ð?ng Nai",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 2.2 DATH 2018,680000000,Nam SX 2018,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 81.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mercedes-Benz GLB 200 2022,1258000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 46.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG RX5 1.5 LUX 2024,665000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 1.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2019,440000000,Nam SX 2019,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit SVP B?n trung 2019,455000000,Nam SX 2019,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
Ford EcoSport Ambiente 1.5L AT 2017,310000000,Nam SX 2017,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger Raptor 2023,1120000000,Nam SX 2023,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 44.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Ranger Wildtrak 2.0L 4x4 AT 2023,855000000,Nam SX 2023,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 33.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia K3 1.6AT 2022,540000000,Nam SX 2022,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 45.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sonet 1.5 Premium 2024,588000000,Nam SX 2024,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Swift 2014,255000000,Nam SX 2014,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 86.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander Cross 1.5 AT 2020,475000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 61.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Carens SX 2.0 AT 2011,230000000,Nam SX 2011,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Tucson 1.6 Turbo HTRAC 2025,980000000,Nam SX 2025,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 4.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger Raptor 2022,975000000,Nam SX 2022,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 50.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Lexus RX 350 Luxury 2016,2050000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 160.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF 3 2025,305000000,Nam SX 2025,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 550 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Honda CR-V 1.5 L 2020,815000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 68.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sorento 2WD 2.2 DATH 2019,655000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 93.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Chevrolet Captiva Maxx LTZ 2.4 2011,235000000,Nam SX 2011,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 126.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Rondo 1.7 DAT 2015,350000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 130.000 km,"T?nh thành
Hung Yên",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Toyota Vios 1.5E MT 2018,279000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Hung Yên",H?p s? S? sàn,Nhiên li?u Máy xang
Kia Carens SX 2.0 AT 2012,225000000,Nam SX 2012,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 130.000 km,"T?nh thành
Hung Yên",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit Tiêu chu?n 2023,650000000,Nam SX 2023,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
Toyota Land Cruiser Prado TX-L 2014,960000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2021,928000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Hyundai Palisade Prestige 7 ch? 2023,1380000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Hyundai Santa Fe 2.2L D?u Cao c?p 2022,1179000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Hyundai Santa Fe 2.5 Xang Cao c?p 2024,1219000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Explorer 2.3L Ecoboost 2023,1780000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Land Cruiser Prado GX 2019,1929000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Daewoo Matiz 2009,138000000,Nam SX 2009,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 200.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Territory Titanium X 2025,875000000,Nam SX 2025,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 2.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
